iteration,reward_mean,length_mean,games,loss
148000,6.44,8.89,9,0.06678081303834915
149000,13.38,16.38,8,0.029645424336194992
150000,13.75,16.75,8,0.05755056440830231
151000,9.88,12.88,8,0.03144055977463722
152000,16.0,19.0,8,0.11658433079719543
153000,10.38,13.38,8,0.032068077474832535
154000,8.88,11.88,8,0.16299958527088165
155000,15.75,18.75,8,0.03836129605770111
156000,11.5,14.5,8,0.039571233093738556
157000,11.0,14.0,8,0.019960084930062294
158000,10.0,13.0,8,0.05547350272536278
159000,12.88,15.88,8,0.05155342072248459
160000,12.12,15.12,8,0.03661634400486946
161000,10.0,13.0,8,0.035658109933137894
162000,9.67,12.0,9,0.042659319937229156
163000,16.0,19.0,8,0.07400338351726532
164000,10.12,13.12,8,0.022929001599550247
165000,14.25,17.25,8,0.06199677288532257
166000,9.88,12.88,8,0.05873173475265503
167000,13.0,16.0,8,0.10359862446784973
168000,10.62,13.62,8,0.04182974249124527
169000,12.75,15.75,8,0.03305438533425331
170000,13.38,16.38,8,0.0422113835811615
171000,19.0,22.0,8,0.05156649649143219
172000,13.62,16.62,8,0.05949418991804123
173000,12.5,15.5,8,0.04026413336396217
174000,12.62,15.62,8,0.10258378088474274
175000,15.25,18.25,8,0.15009772777557373
176000,13.88,16.88,8,0.08008410036563873
177000,14.5,17.5,8,0.044008634984493256
178000,13.62,16.62,8,0.04570213705301285
179000,14.88,17.88,8,0.03696025535464287
180000,12.88,15.88,8,0.11041828244924545
181000,9.75,12.75,8,0.023750003427267075
182000,18.5,21.5,8,0.033429838716983795
183000,11.5,14.5,8,0.04673834890127182
184000,8.38,10.5,8,0.07727452367544174
185000,10.12,13.12,8,0.04541020840406418
186000,11.62,14.62,8,0.10557559132575989
187000,11.88,14.88,8,0.040697451680898666
188000,14.67,17.67,9,0.04914349317550659
189000,6.38,9.38,8,0.042973216623067856
190000,15.38,18.38,8,0.04902055487036705
191000,9.25,12.25,8,0.04233843460679054
192000,13.12,16.12,8,0.04065879061818123
193000,13.62,16.62,8,0.028802651911973953
194000,8.25,11.25,8,0.16858559846878052
195000,11.0,14.0,8,0.04810474440455437
196000,15.12,18.12,8,0.13313230872154236
197000,10.5,13.5,8,0.04761606454849243
198000,14.62,17.62,8,0.022477449849247932
199000,16.38,19.38,8,0.04063247889280319
200000,11.5,14.5,8,0.10512661188840866
201000,15.88,18.88,8,0.11819613724946976
202000,17.38,20.38,8,0.07417522370815277
203000,15.25,18.25,8,0.027329105883836746
204000,15.25,18.25,8,0.03210866078734398
205000,6.25,9.25,8,0.10578612983226776
206000,10.12,13.12,8,0.042453158646821976
207000,12.0,15.0,8,0.05064941197633743
208000,10.9,13.4,10,0.08162607252597809
209000,19.38,22.38,8,0.023173779249191284
210000,11.62,14.62,8,0.11908936500549316
211000,11.5,14.5,8,0.05982634425163269
212000,14.38,17.38,8,0.043496254831552505
213000,14.75,17.75,8,0.04563000053167343
214000,12.0,15.0,8,0.09104748070240021
215000,9.25,12.25,8,0.03387466073036194
216000,11.75,14.75,8,0.23036278784275055
217000,18.12,21.12,8,0.06758725643157959
218000,16.38,19.38,8,0.030421778559684753
219000,18.0,21.0,8,0.13145704567432404
220000,16.38,19.38,8,0.11305359750986099
221000,15.12,18.12,8,0.19683516025543213
222000,8.12,11.12,8,0.03598795831203461
223000,7.62,10.62,8,0.056176796555519104
224000,19.0,22.0,8,0.038991160690784454
225000,13.38,16.38,8,0.030916433781385422
226000,11.38,14.38,8,0.04852363467216492
227000,15.38,18.38,8,0.12439307570457458
228000,14.12,17.12,8,0.03281506150960922
229000,12.38,15.38,8,0.09327388554811478
230000,15.38,18.38,8,0.10614219307899475
231000,12.5,15.5,8,0.053896959871053696
232000,13.0,16.0,8,0.06536082178354263
233000,11.0,14.0,8,0.13260026276111603
234000,16.38,19.38,8,0.02973315119743347
235000,13.12,16.12,8,0.036904215812683105
236000,12.38,15.38,8,0.03560805320739746
237000,8.75,11.75,8,0.04227402061223984
238000,17.62,20.62,8,0.05243677645921707
239000,12.12,15.12,8,0.05433109775185585
240000,19.38,22.38,8,0.11116744577884674
241000,12.0,15.0,8,0.0754881501197815
242000,13.88,16.88,8,0.25523069500923157
